German,English
Dutzen,dozen
wiederherstellen,to restore
leiden,to suffer
Renditen,Returns / Yield
äußerte,express
Massenhaft,en masse
US-Staatsanleihen,US Treasury
Regelung,control
diejenigen,those
bemühen wird,will try
Haut,skin
verfahren,"1. Procedure, 2. Get lost while driving.
""Das Verfahren zur Bewerbung ist sehr einfach.""
The application process is very simple."
dichtgemacht,closed off
reizen,tempt
Abschluss,degree
Karfreitag,Good Friday
Vorrat,"supply
""Der Vorrat an Trinkwasser geht zur Neige.""
The supply of drinking water is running low."
Ergebnis,result
Ebnen,pave
eine Zahl hinter dem Komma,one decimal point
Ermittlungen,"investigation
""Die Ermittlungen führten zur Festnahme des Verdächtigen.""
The investigation led to the arrest of the suspect."
gewerbesteuer,trade tax
scheitern,fail
Ausdauer,endurance
Finanzierung,financing
Fahrradkolonne,bicycle colony
umstritten,controversial
Auftritt,appearance
Vergleich,comparison
weiter leiten,forward
betreffen,affect
Verhandlung,negotiation
stetig,steadily
betragen,to amount to
ungünstigen,unfavorable
ernst nehmen,take seriously
Auseinandersetzung,discussion
Weigerung,refusal
Haftstrafe,prison sentence
Bezug,Return
Beteiligung,participation
anzünden,to ignite
Ansprechpartnerinnen,contact persons
Seilbahnunglück,cable car accident
Anlegen,Invest
Versorgung,supply
Hergang,course of events
erschüttert,shock
Bonität,credit worthiness
weitgehend,to a large extent
zusätzliche,additional
Verlust,loss
Gipfels,summit
Appell,appeal
Kurtaxe,tourist tax
Unterstützung,support
pauschalen,flat rates
erobert,conquers
Voraussetzung,requirement
Gerechtigkeit,justice
fünfköpfige,five members
Herrschaft,domination
abrüstung,disarmament
Einmischung,interference
Aktienkurse,stock price
Obergrenze,upper limit
wodurch,which means
Haupt Akteure,main actors
Anleihenmarkt,bond market
verweigerer,refuser
Gestrüpp,bushes
Veranstaltung,"event
""Wir haben die Veranstaltung wegen des Regens abgesagt.""
We canceled the event because of the rain."
unbewaffnete,unarmed
Abweichung,deviation
Erforschung,exploration
vortragen,present (a presentation)
Schrecken,horror
Zudem,in addition
Schutzschilde,protective shield
Angebot,offer
Bedenken,concern
wachgerüttelt,shaken awake
Streitkräften,Armed Forces
die Augen nicht verschließen,not turn a blind eye
Einkünfte,income
Hauptstadt,capital city
beschleunigen,to accelerate
eklatantes,glaring
Maßnahme,measure
Beschäftigung,employment
Protestwelle,wave of protest
tiefgreifende,profound
erzeugen,"generate
""Die Solaranlage erzeugt Strom.""
The solar panel generates electricity."
Umsatz,"sales/revenue
""Wir müssen den Umsatz im nächsten Quartal verbessern.""
We need to improve revenue in the next quarter."
Rechtsstaatlichkeit,rule of law
Einleihen,Give In
Spielraum,leeway
Venedig,Venice
Befugnisse,power of authority
Zumutung,imposition
gemeinsame Richtung,common direction
